dolum_id,dolum_baslangic,dolum_bitis,istasyon_kodu,tank_no,akaryakit_turu,dolum_oncesi_hacim,dolum_sonrasi_hacim,dolum_brut,dolum_net,sicaklik,merkeze_gelis_tarihi
1,2026-01-03 00:04:00,2026-01-03 00:23:00,IST_001,2,KB 95 Oktan Excellium,1598.35,5806.51,4273.53,4208.16,27.75,2026-01-03 03:30:00
2,2026-01-03 10:37:00,2026-01-03 10:55:00,IST_001,5,Motorin(Excellium),5289.56,10239.05,4994.13,4949.49,25.64,2026-01-03 14:00:00
3,2026-01-03 14:01:00,2026-01-03 14:28:00,IST_001,4,KB 95 Oktan Excellium,5039.98,9748.29,4772.02,4708.31,26.12,2026-01-03 18:30:00
4,2026-01-04 01:09:00,2026-01-04 01:18:00,IST_001,5,Motorin(Excellium),6829.69,14582.45,7824.33,7752.76,,2026-01-04 08:30:00
5,2026-01-04 01:33:00,2026-01-04 01:55:00,IST_001,1,Motorin(Excellium),4138.69,16305.12,12271.95,12166.43,25.24,2026-01-04 07:00:00
6,2026-01-04 16:34:00,2026-01-04 16:45:00,IST_001,3,Motorin(Excellium),1618.84,8087.33,6534.34,6468.49,27.0,2026-01-04 18:00:00
7,2026-01-05 15:04:00,2026-01-05 15:20:00,IST_001,4,KB 95 Oktan Excellium,3656.11,8479.8,4859.68,4823.69,21.17,
8,2026-01-05 15:07:00,2026-01-05 15:23:00,IST_001,5,Motorin(Excellium),6139.5,15693.01,9654.96,9553.51,27.51,2026-01-05 20:30:00
9,2026-01-06 15:04:00,2026-01-06 15:28:00,IST_001,1,Motorin(Excellium),5673.31,15232.47,9606.87,9559.16,20.91,2026-01-06 22:30:00
10,2026-01-06 21:36:00,2026-01-06 21:58:00,IST_001,4,KB 95 Oktan Excellium,4301.26,14112.02,9939.04,9810.76,25.76,2026-01-07 03:00:00
11,2026-01-07 12:08:00,2026-01-07 12:16:00,IST_001,2,KB 95 Oktan Excellium,979.09,5743.92,4828.34,4764.83,25.96,2026-01-07 18:30:00
12,2026-01-07 16:08:00,2026-01-07 16:24:00,IST_001,5,Motorin(Excellium),5240.33,9906.94,4701.8,4666.61,23.91,2026-01-07 23:30:00
13,2026-01-08 16:02:00,2026-01-08 16:18:00,IST_001,3,Motorin(Excellium),2795.38,7737.58,4993.1,4942.2,27.14,
14,2026-01-08 16:32:00,2026-01-08 16:52:00,IST_001,5,Motorin(Excellium),3677.92,11262.64,7669.15,7584.72,28.11,2026-01-08 22:00:00
15,2026-01-08 19:31:00,2026-01-08 19:48:00,IST_001,1,Motorin(Excellium),4656.49,14211.5,9611.05,9555.01,21.94,2026-01-09 01:00:00
