istasyon_kodu,tank_no,ort_kayip,std_kayip,satisiz_kayip,kum_son,sic_null,alarm_gun,kapasite,akaryakit_turu,is_manifold,bolmeli,tank_key
IST_001,1,-0.10500231481481481,11.616562797750317,5,-453.61,0,7,23000,Motorin(Excellium),1,0,IST_001/T1
IST_001,2,0.0007361111111110939,49.404788503546364,2,3.18,0,0,7000,KB 95 Oktan Excellium,0,0,IST_001/T2
IST_001,3,0.0747037037037037,11.228721102254097,5,322.72,0,7,10000,Motorin(Excellium),1,0,IST_001/T3
IST_001,4,-0.02066435185185185,4.084240761301251,20,-89.27,0,3,20000,KB 95 Oktan Excellium,0,0,IST_001/T4
IST_001,5,0.009888888888888888,4.434685930514997,13,42.72,0,1,30000,Motorin(Excellium),0,0,IST_001/T5
IST_002,1,-0.12719212962962928,254.34751923375603,4,-549.47,48,8,23000,Motorin(Excellium),0,0,IST_002/T1
IST_002,2,0.010456018518518505,112.44841241392044,2,45.17,0,2,10000,KB 95 Oktan Excellium,0,0,IST_002/T2
IST_002,3,-0.7827893518518518,302.39060241693034,8,-3381.65,0,3,20000,Motorin(Excellium),0,0,IST_002/T3
IST_002,4,-0.01229166666666673,35.50857783499602,3,-53.1,48,2,7000,KB 95 Oktan Excellium,0,0,IST_002/T4
IST_002,5,-0.9946851851851856,226.3156612703343,7,-4297.04,0,4,30000,Motorin(Excellium),0,0,IST_002/T5
IST_003,1,-0.13773611111111111,3.3759210780956623,5,-595.02,48,8,23000,Motorin(Excellium),0,0,IST_003/T1
IST_003,2,0.8767893518518518,83.77760676664849,34,3787.73,0,16,20000,KB 95 Oktan Excellium,0,1,IST_003/T2
IST_003,3,-0.02417824074074074,3.6154430505358643,61,-104.45,48,2,10000,Motorin(Excellium),0,1,IST_003/T3
IST_004,1,-0.0974837962962963,5.124411613542742,12,-421.13,0,5,30000,Motorin(Excellium),0,0,IST_004/T1
IST_004,2,0.2951342592592593,12.378923729569838,3,1274.98,0,9,10000,KB 95 Oktan Excellium,1,0,IST_004/T2
IST_004,3,0.01737962962962964,3.6820664283805487,3,75.08,0,0,23000,Motorin(Excellium),0,0,IST_004/T3
IST_004,4,-0.30686574074074074,12.405063274774273,4,-1325.66,0,9,10000,KB 95 Oktan Excellium,1,0,IST_004/T4
IST_004,5,-0.33267361111111116,3.330162088680009,72,-1437.15,0,7,20000,Motorin(Excellium),0,0,IST_004/T5
IST_005,1,1.762855488652154,119.45856152989487,6,7612.01,0,15,23000,Motorin(Excellium),1,0,IST_005/T1
IST_005,2,0.8152223251505327,5.782802384105235,2,3520.13,0,6,7000,KB 95 Oktan Excellium,0,0,IST_005/T2
IST_005,3,-0.9360884668828162,12.33810577142691,36,-4042.03,0,15,23000,Motorin(Excellium),1,0,IST_005/T3
IST_006,1,-0.006606481481481483,3.2564365333618173,5,-28.54,0,1,23000,Motorin(Excellium),0,0,IST_006/T1
IST_006,2,0.010141203703703701,4.659390650608407,10,43.81,0,4,20000,KB 95 Oktan Excellium,0,0,IST_006/T2
IST_006,3,-0.017638888888888888,1.5625093742097418,5,-76.2,0,0,10000,Motorin(Excellium),0,0,IST_006/T3
IST_006,4,-0.009962962962962963,1.6216438649546654,2,-43.04,0,0,7000,KB 95 Oktan Excellium,0,0,IST_006/T4
IST_007,1,9.996457076566125,125.13406275582035,6,43084.73,0,2,30000,Motorin(Excellium),0,0,IST_007/T1
IST_007,2,-0.6894988399071925,8.532541116579816,89,-2971.74,0,14,10000,KB 95 Oktan Excellium,1,0,IST_007/T2
IST_007,3,-0.07709512761020886,93.29707131621359,3,-332.28,0,6,23000,Motorin(Excellium),0,0,IST_007/T3
IST_007,4,0.19969837587006975,98.16690950279144,5,860.7,0,10,10000,KB 95 Oktan Excellium,1,0,IST_007/T4
IST_008,1,0.00496527777777778,3.709377458372932,2,21.45,0,0,23000,Motorin(Excellium),0,0,IST_008/T1
IST_008,2,-0.10904398148148148,7.037783882729386,4,-471.07,48,1,7000,KB 95 Oktan Excellium,0,0,IST_008/T2
IST_008,3,-0.006587962962962962,3.0032162163553373,12,-28.46,0,4,20000,Motorin(Excellium),0,0,IST_008/T3
